time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-06-13T20:08:30.000Z,61.4671,-146.576,20,2.6,ml,,,,0.76,ak,ak11290654,2014-06-13T21:41:25.000Z,"39km NNW of Valdez, Alaska",earthquake
2014-06-13T20:07:46.165Z,39.3443,-120.0052,7.107,1.2,ml,24,66.73,0.057,0.1343,nn,nn00448981,2014-06-13T22:35:56.120Z,"10km NNW of Incline Village, Nevada",earthquake
2014-06-13T20:01:58.500Z,45.3868,-118.4595,0,2.3,Md,,338.4,1.24865824,2.1,uw,uw60808676,2014-06-13T22:43:45.755Z,"29km WNW of La Grande, Oregon",quarry
2014-06-13T19:56:07.110Z,33.5031667,-116.469,10.34,0.58,ml,13,99,0.04142,0.1,ci,ci15511705,2014-06-13T20:14:14.880Z,"Southern California",earthquake
2014-06-13T19:52:56.600Z,38.836,-122.7825,2.3,1.6,Md,31,64.8,0.00898315,0.03,nc,nc72237281,2014-06-13T23:09:09.516Z,"5km WNW of Cobb, California",earthquake
2014-06-13T19:50:40.290Z,33.6798333,-116.723,18.2,0.79,ml,18,95,0.03211,0.07,ci,ci15511697,2014-06-13T20:11:09.030Z,"6km S of Idyllwild, California",earthquake
2014-06-13T19:49:53.000Z,62.2997,-151.182,100,2.7,ml,,,,1.76,ak,ak11290591,2014-06-13T20:00:29.994Z,"Central Alaska",earthquake
2014-06-13T19:48:43.100Z,19.3993,-155.2225,0.8,1.8,Ml,,302.4,0.03593261,0.14,hv,hv60713061,2014-06-13T19:54:24.105Z,"Hawaii region, Hawaii",earthquake
2014-06-13T19:32:39.600Z,36.8918,-121.6093,1.8,1.3,Md,11,82.8,0.01796631,0.07,nc,nc72237276,2014-06-13T22:39:09.394Z,"3km E of Aromas, California",earthquake
2014-06-13T19:30:30.620Z,-46.0316,-13.8648,12.09,5.6,mwb,,33,9.03,1.03,us,usc000rf9i,2014-06-13T21:33:15.434Z,"Southern Mid-Atlantic Ridge",earthquake
2014-06-13T19:27:45.000Z,62.2459,-149.6746,48.2,2.2,ml,,,,0.72,ak,ak11290579,2014-06-13T19:39:12.744Z,"Central Alaska",earthquake
2014-06-13T19:26:06.460Z,33.3348333,-116.314,14.55,1.14,ml,26,188,0.04522,0.18,ci,ci15511689,2014-06-13T19:41:44.700Z,"10km NNE of Borrego Springs, California",earthquake
2014-06-13T19:18:40.000Z,60.065,-152.7442,100,2.8,ml,,,,0.49,ak,ak11290570,2014-06-13T21:03:19.000Z,"46km S of Redoubt Volcano, Alaska",earthquake
2014-06-13T19:15:42.496Z,39.3402,-119.9891,5.9973,0.54,ml,11,54.94,0.06,0.1044,nn,nn00448993,2014-06-13T22:50:20.944Z,"9km N of Incline Village, Nevada",earthquake
2014-06-13T19:11:36.040Z,33.498,-116.4983333,15.86,1.21,ml,28,92,0.06532,0.11,ci,ci15511681,2014-06-13T19:37:16.470Z,"17km ESE of Anza, California",earthquake
2014-06-13T18:52:31.500Z,35.9738,-97.1819,5,2.7,ml,,70,,0.66,us,usc000rf8x,2014-06-13T20:49:33.000Z,"Oklahoma",earthquake
2014-06-13T18:47:24.030Z,51.6323,-177.9648,7.99,3.8,ml,,211,0.834,1.13,us,usc000rf95,2014-06-13T20:37:23.718Z,"35km SSE of Tanaga Volcano, Alaska",earthquake
2014-06-13T18:43:20.400Z,37.4718,-118.8358,5.4,1.6,Md,22,176.4,0.11678099,0.03,nc,nc72237261,2014-06-13T21:41:09.044Z,"23km SSE of Mammoth Lakes, California",earthquake
2014-06-13T18:42:09.740Z,33.9541667,-116.6591667,14.88,0.86,ml,23,62,0.08465,0.12,ci,ci15511673,2014-06-13T19:31:01.480Z,"11km WNW of Garnet, California",earthquake
2014-06-13T18:39:04.140Z,33.5041667,-116.4678333,9.58,0.92,ml,22,99,0.04009,0.1,ci,ci15511665,2014-06-13T19:24:19.700Z,"19km ESE of Anza, California",earthquake
2014-06-13T18:31:44.000Z,64.7897,-149.0038,4.6,1.5,ml,,,,0.59,ak,ak11290510,2014-06-13T18:40:32.825Z,"24km NNE of North Nenana, Alaska",earthquake
2014-06-13T18:20:43.000Z,67.6897,-162.5931,34.7,2.7,ml,,,,0.97,ak,ak11290509,2014-06-13T20:37:50.158Z,"20km NE of Noatak, Alaska",earthquake
2014-06-13T18:04:10.500Z,38.8352,-122.7995,2.7,0.2,Md,6,122.4,0.01796631,0.01,nc,nc72237251,2014-06-13T18:39:02.933Z,"6km WNW of Cobb, California",earthquake
2014-06-13T18:02:49.660Z,33.0603333,-114.9866667,0.01,1.99,ml,5,102,0.08817,0.18,ci,ci15511657,2014-06-13T19:19:16.180Z,"46km NE of Holtville, California",quarry_blast
2014-06-13T17:58:22.210Z,32.2913333,-115.3136667,15.37,2.52,ml,9,215,0.128,0.39,ci,ci15511641,2014-06-13T19:17:11.479Z,"13km WSW of Delta, Mexico",earthquake
2014-06-13T17:53:55.000Z,60.0993,-141.7373,0,1.5,ml,,,,0.92,ak,ak11290504,2014-06-13T18:01:09.359Z,"38km E of Cape Yakataga, Alaska",earthquake
2014-06-13T17:51:18.030Z,33.6003333,-116.8186667,10.55,0.31,ml,15,154,0.0383,0.1,ci,ci15511633,2014-06-13T19:13:04.430Z,"14km WNW of Anza, California",earthquake
2014-06-13T17:50:15.800Z,19.4037,-65.1922,7,2.8,Md,3,331.2,1.0698935,0.25,pr,pr14164016,2014-06-14T01:52:44.632Z,"120km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2014-06-13T17:50:03.720Z,33.4493333,-116.5895,9.49,0.42,ml,16,125,0.04648,0.11,ci,ci15511625,2014-06-13T19:07:59.440Z,"14km SSE of Anza, California",earthquake
2014-06-13T17:19:09.230Z,35.1553333,-118.727,2.26,0.75,ml,4,165,0.08179,0.05,ci,ci15511617,2014-06-13T19:05:29.122Z,"8km W of Bear Valley Springs, California",earthquake
2014-06-13T17:16:37.900Z,38.778,-122.716,3,0.6,Md,8,97.2,0.00898315,0.02,nc,nc72237216,2014-06-13T17:47:02.657Z,"3km E of The Geysers, California",earthquake
2014-06-13T17:04:01.210Z,34.0201667,-117.5443333,18.62,0.99,ml,15,134,0.1428,0.12,ci,ci15511609,2014-06-13T19:00:31.660Z,"4km NW of Mira Loma, California",earthquake
2014-06-13T16:54:20.900Z,38.8045,-122.7753,1.6,1.2,Md,18,50.4,0.00898315,0.02,nc,nc72237211,2014-06-13T20:09:08.448Z,"3km NNW of The Geysers, California",earthquake
2014-06-13T16:48:54.000Z,63.389,-151.5399,0.1,1.5,ml,,,,1.12,ak,ak11290448,2014-06-13T17:02:42.931Z,"129km W of Cantwell, Alaska",earthquake
2014-06-13T16:44:34.500Z,38.8155,-122.8127,3.5,1.4,Md,29,43.2,0.00898315,0.03,nc,nc72237206,2014-06-13T19:40:08.237Z,"6km NW of The Geysers, California",earthquake
2014-06-13T16:41:24.000Z,63.5535,-147.5578,16.3,0.6,ml,,,,0.51,ak,ak11290451,2014-06-13T20:22:24.644Z,"71km ENE of Cantwell, Alaska",earthquake
2014-06-13T16:39:21.200Z,18.2166,-67.317,14,2.3,Md,3,180,0.22637545,0.23,pr,pr14164018,2014-06-13T22:27:43.290Z,"13km SSW of Stella, Puerto Rico",earthquake
2014-06-13T16:35:40.000Z,62.3672,-151.0528,74.8,1.2,ml,,,,0.59,ak,ak11290446,2014-06-13T16:44:08.335Z,"49km W of Talkeetna, Alaska",earthquake
2014-06-13T16:26:54.230Z,38.2508,-118.6628,3.7,0.98,ml,7,196.57,0.097,,nn,nn00448957,2014-06-13T16:30:08.563Z,"30km S of Hawthorne, Nevada",earthquake
2014-06-13T16:12:43.850Z,33.4423333,-116.5608333,10.89,0.44,ml,15,106,0.06264,0.07,ci,ci15511601,2014-06-13T18:44:42.840Z,"16km SE of Anza, California",earthquake
2014-06-13T16:01:47.000Z,59.9229,-153.6844,108.1,1.6,ml,,,,1.05,ak,ak11290404,2014-06-13T20:22:23.680Z,"71km ENE of Old Iliamna, Alaska",earthquake
2014-06-13T15:58:48.300Z,47.4943,-122.9645,21.6,0.2,Md,,230.4,0.08983153,0.01,uw,uw60808591,2014-06-13T18:09:22.538Z,"11km WNW of Belfair, Washington",earthquake
2014-06-13T15:58:12.915Z,37.5191,-117.2191,15.573,1.15,ml,8,146.88,0.545,0.0671,nn,nn00448956,2014-06-13T18:21:11.196Z,"21km S of Goldfield, Nevada",earthquake
2014-06-13T15:20:21.100Z,32.8225,-115.4635,9.48,2.35,ml,21,67,0.02217,0.25,ci,ci15511585,2014-06-13T18:42:22.230Z,"7km W of Holtville, California",earthquake
2014-06-13T15:19:16.400Z,37.4707,-118.8173,8.5,1.9,Md,29,57.6,0.08084838,0.05,nc,nc72237191,2014-06-13T19:11:08.121Z,"23km SSE of Mammoth Lakes, California",earthquake
2014-06-13T15:18:52.030Z,34.972,-118.983,19.99,1.46,ml,15,116,0.0614,0.13,ci,ci15511577,2014-06-13T18:24:34.020Z,"16km NNW of Frazier Park, California",earthquake
2014-06-13T15:09:23.000Z,60.9687,-148.1454,1.8,2,ml,,,,0.87,ak,ak11290391,2014-06-13T15:17:37.531Z,"36km NE of Whittier, Alaska",earthquake
2014-06-13T15:02:54.300Z,39.004,-123.3142,3.8,2.4,Md,61,57.6,0.11678099,0.07,nc,nc72237186,2014-06-13T23:06:34.692Z,"4km E of Boonville, California",earthquake
2014-06-13T15:00:21.000Z,61.485,-148.5281,32.2,0.9,ml,,,,0.66,ak,ak11290353,2014-06-13T15:04:58.506Z,"27km ESE of Butte, Alaska",earthquake
2014-06-13T14:48:06.900Z,38.823,-122.844,2.4,1.4,Md,25,50.4,0.00898315,0.03,nc,nc72237176,2014-06-13T18:12:07.770Z,"9km NW of The Geysers, California",earthquake
2014-06-13T14:42:16.700Z,37.4718,-118.816,8.8,1.1,Md,13,180,0.08084838,0.02,nc,nc72237166,2014-06-13T17:43:07.625Z,"23km SE of Mammoth Lakes, California",earthquake
2014-06-13T14:42:14.380Z,36.3443336,-120.9178314,2.89,1.6,md,10,92,0.02956,0.08,nc,nc72237161,2014-06-13T17:14:07.471Z,"23km NE of King City, California",earthquake
2014-06-13T14:39:26.500Z,38.8223,-122.7647,2.8,0.9,Md,12,97.2,0.00898315,0.01,nc,nc72237156,2014-06-13T16:44:07.279Z,"3km W of Cobb, California",earthquake
2014-06-13T14:37:45.250Z,34.3136667,-117.4936667,13.01,1.06,ml,15,57,0.04368,0.09,ci,ci15511569,2014-06-13T15:46:48.850Z,"12km SW of Oak Hills, California",earthquake
2014-06-13T14:36:40.800Z,19.2756,-65.319,57,2.9,Md,5,309.6,0.96209567,0.15,pr,pr14164014,2014-06-13T22:39:12.776Z,"107km N of Culebra, Puerto Rico",earthquake
2014-06-13T13:59:28.910Z,34.3155,-117.4908333,12.53,0.95,ml,10,129,0.04602,0.1,ci,ci15511561,2014-06-13T15:49:54.890Z,"12km SW of Oak Hills, California",earthquake
2014-06-13T13:54:09.950Z,36.1186667,-117.8833333,6.04,0.41,ml,7,213,0.02309,0.1,ci,ci15511553,2014-06-13T17:37:28.423Z,"52km N of Inyokern, California",earthquake
2014-06-13T13:52:31.500Z,34.3098333,-117.4946667,13.65,1.23,ml,12,91,0.04312,0.09,ci,ci15511545,2014-06-13T15:39:30.670Z,"13km SW of Oak Hills, California",earthquake
2014-06-13T13:48:45.000Z,67.7347,-162.4063,22.6,2.7,ml,,,,0.97,ak,ak11290338,2014-06-13T21:51:22.921Z,"29km NE of Noatak, Alaska",earthquake
2014-06-13T13:40:50.450Z,34.3055,-117.4926667,13.38,1.06,ml,10,129,0.04545,0.08,ci,ci15511529,2014-06-13T15:52:58.780Z,"13km SW of Oak Hills, California",earthquake
2014-06-13T13:35:19.970Z,34.3076667,-117.4975,12.81,3.47,ml,92,19,0.04111,0.16,ci,ci15511521,2014-06-13T23:27:14.509Z,"13km SW of Oak Hills, California",earthquake
2014-06-13T13:34:14.910Z,35.0445,-118.4418333,9.72,1.5,ml,23,59,0.09831,0.12,ci,ci15511513,2014-06-13T17:36:00.090Z,"9km S of Tehachapi, California",earthquake
2014-06-13T13:33:39.600Z,38.8343,-122.809,1.7,0.7,Md,13,57.6,0.00898315,0.01,nc,nc72237141,2014-06-13T15:46:17.025Z,"7km W of Cobb, California",earthquake
2014-06-13T13:33:03.000Z,60.174,-150.9092,16.4,1.8,ml,,,,0.81,ak,ak11290297,2014-06-13T13:41:28.588Z,"30km SE of Cohoe, Alaska",earthquake
2014-06-13T13:32:53.030Z,33.308,75.5918,46.2,5,mb,,91,1.971,0.8,us,usc000rf2p,2014-06-13T21:35:35.397Z,"16km W of Kishtwar, India",earthquake
2014-06-13T13:26:57.000Z,38.8108,-122.8153,3.2,0.4,Md,9,72,0.00898315,0.02,nc,nc72237131,2014-06-13T14:47:06.670Z,"6km NW of The Geysers, California",earthquake
2014-06-13T13:24:33.100Z,36.0615,-119.9198,10.8,2.4,Md,104,68.4,0.1527136,0.14,nc,nc72237126,2014-06-14T00:17:05.077Z,"7km NNE of Kettleman City, California",earthquake
2014-06-13T12:50:50.100Z,19.4062,-155.2983,1.3,0.6,Md,,64.8,0,0.1,hv,hv60712941,2014-06-14T01:06:12.263Z,"6km WSW of Volcano, Hawaii",earthquake
2014-06-13T12:30:52.600Z,38.7922,-122.7685,3,0.5,Md,13,90,0.01796631,0.02,nc,nc72237121,2014-06-13T13:49:06.372Z,"1km NNW of The Geysers, California",earthquake
2014-06-13T12:26:32.590Z,14.1391,-91.2286,74.17,5,mb,,120,0.591,1.4,us,usc000rf0w,2014-06-13T19:14:38.953Z,"10km SE of Nueva Concepcion, Guatemala",earthquake
2014-06-13T12:20:57.000Z,51.2641,-179.9138,13.2,2,ml,,,,0.75,ak,ak11290254,2014-06-13T19:44:18.652Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2014-06-13T12:20:31.000Z,63.5404,-148.0928,0.6,0.7,ml,,,,0.37,ak,ak11290255,2014-06-13T12:26:01.779Z,"45km ENE of Cantwell, Alaska",earthquake
2014-06-13T12:11:01.500Z,19.473,-155.476,5.6,1.3,Md,,43.2,0.06288207,0.12,hv,hv60712926,2014-06-14T00:49:59.366Z,"25km W of Volcano, Hawaii",earthquake
2014-06-13T12:06:43.200Z,46.6127,-119.8472,6.6,1,Md,,165.6,0.05389892,0.08,uw,uw60808531,2014-06-13T19:36:48.510Z,"9km SE of Desert Aire, Washington",earthquake
2014-06-13T12:02:59.000Z,61.6131,-148.2853,10,1.3,ml,,,,0.76,ak,ak11290251,2014-06-13T12:10:56.577Z,"35km E of Lazy Mountain, Alaska",earthquake
2014-06-13T12:00:24.900Z,17.8635,-67.1427,5,1.7,Md,3,327.6,0.14013718,0.1,pr,pr14164015,2014-06-13T16:24:42.986Z,"13km SSE of Pole Ojea, Puerto Rico",earthquake
2014-06-13T11:44:48.870Z,38.8268333,-122.7921667,3.64,2.54,md,15,57,0.01165,0.03,nc,nc72237111,2014-06-13T20:38:08.672Z,"6km W of Cobb, California",earthquake
2014-06-13T11:40:44.400Z,39.4422,-111.2515,-0.3,1.9,Md,,187.2,0.1527136,0.1,uu,uu60073142,2014-06-13T15:35:34.475Z,"21km ESE of Mount Pleasant, Utah",earthquake
2014-06-13T11:39:47.000Z,19.1243,-155.4313,41.1,1.9,Md,,223.2,0.04491576,0.1,hv,hv60712921,2014-06-14T00:10:39.029Z,"10km SSE of Pahala, Hawaii",earthquake
2014-06-13T11:38:24.400Z,17.7677,-66.2577,11,2.9,Md,21,194.4,0.24344344,0.34,pr,pr14164012,2014-06-13T19:40:52.216Z,"20km S of Central Aguirre, Puerto Rico",earthquake
2014-06-13T11:37:49.370Z,32.8238333,-115.4675,10,2.65,ml,26,54,0.0254,0.26,ci,ci15511489,2014-06-13T17:33:12.726Z,"8km W of Holtville, California",earthquake
2014-06-13T11:35:25.300Z,32.837,-115.4755,9.95,1.74,ml,12,138,0.03978,0.22,ci,ci15511497,2014-06-13T17:27:18.311Z,"8km E of Imperial, California",earthquake
2014-06-13T11:31:27.700Z,38.7952,-122.7708,4.2,1,Md,19,72,0.01796631,0.02,nc,nc72237106,2014-06-13T12:50:06.115Z,"2km NNW of The Geysers, California",earthquake
2014-06-13T11:30:20.670Z,33.9258333,-116.795,10.68,0.96,ml,29,52,0.09203,0.1,ci,ci15511473,2014-06-13T17:24:23.770Z,"1km NW of Cabazon, California",earthquake
2014-06-13T11:30:20.600Z,32.8111667,-115.467,9,2.04,ml,19,98,0.01799,0.27,ci,ci15511481,2014-06-13T17:20:51.560Z,"8km W of Holtville, California",earthquake
2014-06-13T11:23:28.100Z,37.644,-119.3245,11.7,0.9,Md,6,331.2,0.19762936,0.05,nc,nc72237101,2014-06-13T16:29:02.228Z,"24km ESE of Yosemite Valley, California",earthquake
2014-06-13T11:16:06.100Z,18.7542,-64.1518,70,2.2,Md,5,338.4,0.55426053,0.1,pr,pr14164013,2014-06-13T12:59:15.481Z,"61km NE of Road Town, British Virgin Islands",earthquake
2014-06-13T10:52:36.300Z,38.8055,-122.818,3.5,1.4,Md,30,54,0.00898315,0.03,nc,nc72237096,2014-06-13T12:21:05.971Z,"6km WNW of The Geysers, California",earthquake
2014-06-13T10:43:17.600Z,18.8405,-64.5442,5,2.2,Md,3,345.6,0.62253249,0.1,pr,pr14164011,2014-06-13T12:24:00.712Z,"47km N of Road Town, British Virgin Islands",earthquake
2014-06-13T10:42:04.500Z,19.7242,-155.8452,14.8,2.7,Ml,,133.2,0.03593261,0.13,hv,hv60712876,2014-06-13T20:43:29.601Z,"14km E of Kalaoa, Hawaii",earthquake
2014-06-13T10:41:56.000Z,60.127,-150.1399,53.2,1.2,ml,,,,0.19,ak,ak11290246,2014-06-13T10:46:43.854Z,"38km W of Seward, Alaska",earthquake
2014-06-13T10:23:51.000Z,61.6021,-148.2679,15.7,1.3,ml,,,,0.73,ak,ak11290213,2014-06-13T10:33:09.674Z,"36km E of Lazy Mountain, Alaska",earthquake
2014-06-13T10:01:12.760Z,32.8256667,-115.4656667,9.12,2.54,ml,26,59,0.02578,0.32,ci,ci15511465,2014-06-13T17:54:48.131Z,"8km WNW of Holtville, California",earthquake
2014-06-13T09:59:16.700Z,47.5943,-123.0055,17.5,0.2,Md,,118.8,0.06288207,0.12,uw,uw60808521,2014-06-13T18:14:33.081Z,"14km WSW of Seabeck, Washington",earthquake
2014-06-13T09:52:10.000Z,63.2642,-151.2661,7.7,1.1,ml,,,,0.46,ak,ak11290210,2014-06-13T10:01:15.243Z,"116km W of Cantwell, Alaska",earthquake
2014-06-13T09:45:03.000Z,60.5371,-143.2633,4.3,0.7,ml,,,,0.56,ak,ak11290208,2014-06-13T19:39:11.827Z,"69km NW of Cape Yakataga, Alaska",earthquake
2014-06-13T09:39:20.000Z,60.4743,-152.0288,64.5,2,ml,,,,0.73,ak,ak11290205,2014-06-13T09:48:10.043Z,"39km E of Redoubt Volcano, Alaska",earthquake
2014-06-13T09:35:34.014Z,39.343,-119.9842,6.7224,0.45,ml,13,63.74,0.065,0.1029,nn,nn00448987,2014-06-13T23:10:44.391Z,"Nevada",earthquake
2014-06-13T09:32:50.920Z,33.6556667,-116.7125,17.72,0.48,ml,15,90,0.03487,0.04,ci,ci15511457,2014-06-13T16:54:26.500Z,"9km S of Idyllwild-Pine Cove, California",earthquake
2014-06-13T09:22:57.000Z,61.1267,-140.2651,2.3,1.1,ml,,,,0.21,ak,ak11290179,2014-06-13T09:27:24.708Z,"155km WNW of Haines Junction, Canada",earthquake
2014-06-13T09:17:18.500Z,44.609,-110.6967,5.7,1.6,Md,,90,0.03593261,0.1,uu,uu60073137,2014-06-13T15:33:29.446Z,"19km NNE of Old Faithful Geyser, Wyoming",earthquake
2014-06-13T09:11:18.060Z,38.7111,20.5429,20.14,4.6,mb,,97,1.433,0.93,us,usc000rey0,2014-06-13T17:13:47.994Z,"14km W of Nidri, Greece",earthquake
2014-06-13T09:06:03.810Z,38.7868347,-122.7365036,2.15,0.58,md,9,76,0.003597,0.02,nc,nc72237081,2014-06-13T09:23:05.229Z,"2km ENE of The Geysers, California",earthquake
2014-06-13T09:05:51.000Z,61.5442,-148.3012,18,1.1,ml,,,,0.39,ak,ak11290177,2014-06-13T09:12:21.556Z,"35km ESE of Lazy Mountain, Alaska",earthquake
2014-06-13T09:03:22.000Z,59.9953,-141.5034,0,1.5,ml,,,,0.76,ak,ak11290175,2014-06-13T09:12:20.659Z,"52km E of Cape Yakataga, Alaska",earthquake
2014-06-13T08:58:55.000Z,18.5461,-67.8425,123,3.3,Md,9,324,0.69709266,0.25,pr,pr14164010,2014-06-13T17:01:28.012Z,"59km E of Punta Cana, Dominican Republic",earthquake
2014-06-13T08:48:29.000Z,57.4362,-155.5606,73.3,2.8,ml,,,,0.49,ak,ak11290168,2014-06-13T19:36:53.191Z,"95km W of Larsen Bay, Alaska",earthquake
2014-06-13T08:34:17.000Z,63.3411,-145.4475,13.9,2.5,ml,,,,1.04,ak,ak11290161,2014-06-13T16:39:47.098Z,"60km S of Deltana, Alaska",earthquake
2014-06-13T08:30:11.170Z,33.3096667,-116.2408333,5.14,0.81,ml,13,229,0.1534,0.2,ci,ci15511449,2014-06-13T16:19:16.770Z,"13km ENE of Borrego Springs, California",earthquake
2014-06-13T08:29:20.000Z,60.6766,-151.6389,100,1.4,ml,,,,0.71,ak,ak11290159,2014-06-13T08:34:40.735Z,"19km W of Nikiski, Alaska",earthquake
